Data;Carteira;CDI;IBOV
02/09/2020;-0,21;0,00;0,00
03/09/2020;1,65;0,01;-1,17
04/09/2020;1,42;0,01;-0,66
08/09/2020;0,32;0,02;-1,83
09/09/2020;0,61;0,03;-0,61
10/09/2020;-1,58;0,04;-3,03
11/09/2020;-1,87;0,04;-3,49
14/09/2020;-1,81;0,05;-1,62
15/09/2020;-2,82;0,06;-1,60
16/09/2020;-2,78;0,07;-2,21
17/09/2020;-2,68;0,07;-1,80
18/09/2020;-5,09;0,08;-3,58
21/09/2020;-5,51;0,09;-4,85
22/09/2020;-5,00;0,10;-4,55
23/09/2020;-7,03;0,10;-6,08
24/09/2020;-4,78;0,11;-4,83
25/09/2020;-5,06;0,12;-4,84
28/09/2020;-5,63;0,13;-7,14
29/09/2020;-7,23;0,13;-8,20
30/09/2020;-7,35;0,14;-7,20
01/10/2020;-6,36;0,15;-6,34
02/10/2020;-6,44;0,16;-7,77
05/10/2020;-6,25;0,16;-5,73
06/10/2020;-6,14;0,17;-6,20
07/10/2020;-6,64;0,18;-6,28
08/10/2020;-2,85;0,19;-3,93
09/10/2020;-2,27;0,19;-4,36
13/10/2020;-2,27;0,20;-3,36
14/10/2020;-2,39;0,21;-2,54
15/10/2020;-2,48;0,22;-2,82
16/10/2020;-4,06;0,22;-3,55
19/10/2020;-2,93;0,23;-3,21
20/10/2020;-0,30;0,24;-1,36
21/10/2020;0,06;0,25;-1,35
22/10/2020;2,96;0,25;-0,01
23/10/2020;2,42;0,26;-0,66
26/10/2020;3,18;0,27;-0,90
27/10/2020;1,34;0,28;-2,28
28/10/2020;-2,57;0,28;-6,44
29/10/2020;-1,83;0,29;-5,25
30/10/2020;-3,28;0,30;-7,83
03/11/2020;-2,02;0,31;-5,84
04/11/2020;-0,01;0,31;-3,98
05/11/2020;2,95;0,32;-1,15
06/11/2020;3,44;0,33;-0,98
09/11/2020;8,18;0,34;1,57
10/11/2020;10,91;0,34;3,09
11/11/2020;9,62;0,35;2,83
12/11/2020;9,17;0,36;0,57
13/11/2020;11,73;0,37;2,74
16/11/2020;13,90;0,37;4,42
17/11/2020;13,39;0,38;5,22
18/11/2020;11,55;0,39;4,11
19/11/2020;12,02;0,40;4,66
20/11/2020;11,16;0,40;4,04
23/11/2020;12,01;0,41;5,35
24/11/2020;13,97;0,42;7,71
25/11/2020;13,47;0,43;8,05
26/11/2020;13,12;0,43;8,15
27/11/2020;14,31;0,44;8,50
30/11/2020;12,09;0,45;6,85
01/12/2020;15,12;0,46;9,31
02/12/2020;15,65;0,46;9,78
03/12/2020;16,91;0,47;10,18
04/12/2020;17,08;0,48;11,61
07/12/2020;16,50;0,49;11,46
08/12/2020;16,38;0,49;11,66
09/12/2020;16,19;0,50;10,88
10/12/2020;17,33;0,51;12,96
11/12/2020;17,33;0,52;12,96
14/12/2020;16,73;0,52;12,45
15/12/2020;18,32;0,53;13,96
16/12/2020;19,23;0,54;15,64
17/12/2020;19,67;0,55;16,17
18/12/2020;19,65;0,55;15,80
21/12/2020;17,73;0,56;13,64
22/12/2020;18,87;0,57;14,44
23/12/2020;20,90;0,58;15,58
28/12/2020;22,52;0,58;16,88
29/12/2020;23,25;0,59;17,16
30/12/2020;21,48;0,60;16,77
04/01/2021;19,45;0,61;16,61
05/01/2021;18,84;0,61;17,12
06/01/2021;18,83;0,62;16,85
07/01/2021;21,59;0,63;20,08
08/01/2021;22,55;0,64;22,72
11/01/2021;21,89;0,64;20,93
12/01/2021;24,61;0,65;21,65
13/01/2021;26,17;0,66;19,62
14/01/2021;28,51;0,67;21,14
15/01/2021;25,10;0,67;18,06
18/01/2021;24,75;0,68;18,94
19/01/2021;23,53;0,69;18,34
20/01/2021;22,80;0,70;17,37
21/01/2021;22,06;0,70;16,08
22/01/2021;20,56;0,71;15,15
26/01/2021;19,71;0,72;14,25
27/01/2021;18,11;0,73;13,68
28/01/2021;20,82;0,73;16,63
29/01/2021;18,17;0,74;12,88
01/02/2021;19,67;0,75;15,29
02/02/2021;20,25;0,76;15,99
03/02/2021;20,64;0,76;17,45
04/02/2021;20,34;0,77;16,99
05/02/2021;20,03;0,78;17,95
08/02/2021;19,48;0,79;17,42
09/02/2021;20,89;0,79;17,20
10/02/2021;19,94;0,80;16,18
11/02/2021;19,92;0,81;17,03
12/02/2021;19,99;0,82;17,16
16/02/2021;20,08;0,82;17,16
17/02/2021;20,83;0,82;18,07
18/02/2021;19,33;0,83;16,94
19/02/2021;19,83;0,84;16,19
22/02/2021;15,93;0,85;10,53
23/02/2021;19,57;0,86;13,04
24/02/2021;18,17;0,86;13,47
25/02/2021;14,82;0,87;10,12
26/02/2021;13,39;0,88;7,94
01/03/2021;12,08;0,89;8,23
02/03/2021;14,71;0,89;9,41
03/03/2021;14,44;0,90;9,06
04/03/2021;15,73;0,91;10,53
05/03/2021;16,74;0,92;13,00
08/03/2021;12,38;0,92;8,50
09/03/2021;15,01;0,93;9,21
10/03/2021;15,06;0,94;10,63
11/03/2021;14,68;0,95;12,79
12/03/2021;13,97;0,95;11,98
15/03/2021;15,55;0,96;12,65
16/03/2021;14,52;0,97;11,84
17/03/2021;17,03;0,98;14,33
18/03/2021;16,53;0,99;12,65
19/03/2021;17,49;1,00;14,01
22/03/2021;17,67;1,01;12,79
23/03/2021;16,25;1,02;11,11
24/03/2021;14,94;1,03;9,93
25/03/2021;16,14;1,04;11,58
26/03/2021;16,08;1,05;12,59
29/03/2021;16,83;1,06;13,22
30/03/2021;17,82;1,07;14,63
31/03/2021;17,64;1,08;14,42
01/04/2021;16,32;1,09;13,07
05/04/2021;17,68;1,10;15,30
06/04/2021;17,60;1,11;15,28
07/04/2021;17,46;1,12;15,40
08/04/2021;18,71;1,13;16,08
09/04/2021;18,83;1,14;15,46
12/04/2021;19,21;1,15;16,58
13/04/2021;18,99;1,16;17,06
14/04/2021;19,62;1,17;18,04
15/04/2021;19,42;1,19;18,44
16/04/2021;20,92;1,20;18,84
19/04/2021;20,46;1,21;18,66
20/04/2021;20,62;1,22;17,81
21/04/2021;20,66;1,22;17,81
22/04/2021;20,06;1,23;17,13
23/04/2021;20,84;1,24;18,26
26/04/2021;20,78;1,25;18,32
27/04/2021;20,42;1,26;17,14
28/04/2021;21,95;1,27;18,77
29/04/2021;21,81;1,28;17,79
30/04/2021;22,09;1,29;16,64
03/05/2021;22,06;1,30;16,95
04/05/2021;21,27;1,31;15,48
05/05/2021;21,88;1,32;17,29
06/05/2021;21,89;1,34;17,64
07/05/2021;22,43;1,35;19,73
10/05/2021;22,11;1,36;19,60
11/05/2021;21,06;1,38;20,64
12/05/2021;18,35;1,39;17,44
13/05/2021;19,38;1,40;18,41
14/05/2021;21,32;1,42;19,56
17/05/2021;22,13;1,43;20,60
18/05/2021;22,00;1,44;20,64
19/05/2021;21,07;1,46;20,30
20/05/2021;21,64;1,47;20,36
21/05/2021;21,32;1,48;20,25
24/05/2021;21,79;1,50;21,66
25/05/2021;21,98;1,51;20,64
26/05/2021;22,29;1,52;21,62
27/05/2021;23,48;1,54;21,98
28/05/2021;24,20;1,55;23,15
31/05/2021;24,16;1,56;23,79
01/06/2021;25,23;1,58;25,81
02/06/2021;26,27;1,59;27,12
03/06/2021;26,26;1,59;27,12
04/06/2021;27,03;1,60;27,63
06/06/2021;27,03;1,62;27,63
07/06/2021;27,52;1,63;28,26
08/06/2021;27,66;1,65;27,29
09/06/2021;27,93;1,66;27,40
10/06/2021;27,83;1,68;27,57
11/06/2021;27,28;1,69;26,94
12/06/2021;27,29;1,71;26,94
14/06/2021;27,82;1,72;27,69
15/06/2021;28,01;1,74;27,58
16/06/2021;27,83;1,75;26,76
17/06/2021;27,76;1,77;25,58
18/06/2021;27,56;1,79;25,92
20/06/2021;27,56;1,80;25,92
21/06/2021;27,57;1,82;26,77
22/06/2021;27,36;1,84;26,28
23/06/2021;26,90;1,85;25,96
24/06/2021;26,60;1,87;27,03
25/06/2021;25,48;1,89;24,82
26/06/2021;25,48;1,90;24,82
28/06/2021;25,53;1,92;24,99
29/06/2021;25,59;1,94;24,89
30/06/2021;24,97;1,95;24,38
01/07/2021;23,78;1,97;23,26
02/07/2021;24,37;1,98;25,18
05/07/2021;23,65;2,00;24,49
06/07/2021;22,86;2,02;22,70
07/07/2021;23,84;2,03;24,59
08/07/2021;23,43;2,05;23,03
09/07/2021;23,46;2,07;23,03
12/07/2021;24,68;2,08;25,16
13/07/2021;24,24;2,10;25,73
14/07/2021;24,47;2,12;25,96
15/07/2021;24,15;2,13;25,04
16/07/2021;23,75;2,15;23,57
19/07/2021;23,06;2,17;22,04
20/07/2021;23,34;2,18;23,03
21/07/2021;23,14;2,20;23,54
22/07/2021;23,24;2,22;23,75
23/07/2021;22,77;2,23;22,68
26/07/2021;22,47;2,25;23,61
27/07/2021;22,06;2,26;22,25
28/07/2021;23,12;2,28;23,89
29/07/2021;22,71;2,30;23,29
30/07/2021;22,26;2,31;19,49
02/08/2021;23,63;2,33;20,20
03/08/2021;24,92;2,35;21,24
04/08/2021;24,85;2,36;19,50
05/08/2021;24,69;2,38;19,33
06/08/2021;25,70;2,40;20,49
09/08/2021;26,79;2,42;20,69
10/08/2021;25,81;2,45;19,90
11/08/2021;26,10;2,47;19,75
12/08/2021;24,57;2,49;18,42
13/08/2021;25,64;2,51;18,91
16/08/2021;25,05;2,53;16,94
17/08/2021;25,02;2,55;15,68
18/08/2021;24,71;2,57;14,45
19/08/2021;26,01;2,59;14,96
20/08/2021;27,80;2,61;15,84
23/08/2021;26,66;2,63;15,27
24/08/2021;27,59;2,65;17,95
25/08/2021;27,89;2,67;18,54
26/08/2021;25,90;2,69;16,49
27/08/2021;26,39;2,71;18,41
30/08/2021;25,27;2,73;17,49
31/08/2021;25,00;2,75;16,55
01/09/2021;24,88;2,77;17,16
02/09/2021;23,60;2,79;14,49
03/09/2021;24,27;2,81;14,74
06/09/2021;24,95;2,83;15,66
07/09/2021;24,96;2,83;15,66
08/09/2021;21,37;2,85;11,28
09/09/2021;23,51;2,87;13,20
10/09/2021;22,85;2,90;12,15
13/09/2021;23,95;2,92;14,22
14/09/2021;24,70;2,94;14,00
15/09/2021;24,27;2,96;12,91
16/09/2021;24,39;2,98;11,67
17/09/2021;23,05;3,00;9,36
20/09/2021;20,93;3,02;6,81
21/09/2021;21,93;3,04;8,18
22/09/2021;23,24;3,06;10,18
23/09/2021;23,82;3,08;11,93
24/09/2021;23,57;3,11;11,16
27/09/2021;24,47;3,13;11,46
28/09/2021;22,66;3,16;8,06
29/09/2021;22,99;3,18;9,02
30/09/2021;21,63;3,21;8,90
01/10/2021;22,75;3,23;10,78
04/10/2021;21,12;3,25;8,32
05/10/2021;21,62;3,28;8,39
06/10/2021;21,34;3,30;8,48
07/10/2021;21,36;3,33;8,51
08/10/2021;22,69;3,35;10,71
11/10/2021;21,98;3,38;10,07
12/10/2021;21,96;3,38;10,07
13/10/2021;24,21;3,40;11,32
14/10/2021;24,62;3,43;11,05
15/10/2021;25,55;3,45;12,49
18/10/2021;25,78;3,48;12,27
19/10/2021;23,50;3,50;8,59
20/10/2021;23,63;3,52;8,70
21/10/2021;21,69;3,55;5,71
22/10/2021;20,39;3,57;4,29
25/10/2021;21,61;3,60;6,67
26/10/2021;20,06;3,62;4,42
27/10/2021;20,40;3,65;4,37
28/10/2021;20,35;3,68;3,72
29/10/2021;19,58;3,71;1,55
01/11/2021;20,72;3,74;3,56
02/11/2021;20,70;3,74;3,56
03/11/2021;23,38;3,77;3,63
04/11/2021;21,77;3,80;1,46
05/11/2021;21,82;3,83;2,85
08/11/2021;21,17;3,86;2,81
09/11/2021;22,19;3,89;3,55
10/11/2021;23,52;3,92;3,97
11/11/2021;24,10;3,95;5,58
12/11/2021;22,85;3,98;4,34
15/11/2021;22,85;3,98;4,34
16/11/2021;20,80;4,01;2,44
17/11/2021;19,35;4,04;1,02
18/11/2021;18,87;4,07;0,50
19/11/2021;19,43;4,10;1,10
22/11/2021;17,87;4,13;0,20
23/11/2021;17,66;4,16;1,70
24/11/2021;17,65;4,19;2,54
25/11/2021;19,40;4,22;3,81
26/11/2021;17,67;4,26;0,29
29/11/2021;17,97;4,29;0,88
30/11/2021;17,09;4,32;0,00
01/12/2021;16,75;4,35;-1,12
02/12/2021;18,62;4,38;2,50
03/12/2021;19,41;4,41;3,09
06/12/2021;19,57;4,44;4,84
07/12/2021;18,33;4,47;5,53
08/12/2021;19,35;4,50;6,05
09/12/2021;17,24;4,54;4,28
10/12/2021;17,53;4,57;5,72
13/12/2021;17,26;4,61;5,35
14/12/2021;16,79;4,64;4,74
15/12/2021;17,37;4,68;5,40
16/12/2021;17,07;4,72;6,28
17/12/2021;16,16;4,75;5,17
20/12/2021;14,96;4,75;5,17
